Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Demo,Chrome 69.0.3497.100,,2018-10-02 14:39:45,2018-10-02 14:43:17,3m - 32.197s,PASSED
,,,,,,
Test Cases/SignUp_Login_ResetPass/TC01_SignUp_Login_ResetPassword_Via_Email,Chrome 69.0.3497.100,,2018-10-02 14:39:45,2018-10-02 14:43:17,3m - 31.536s,PASSED
"Statement - r_string = new java.lang.Math().random().toString().substring(2, 8)",Chrome 69.0.3497.100,,2018-10-02 14:39:47,2018-10-02 14:39:47,0.152s,PASSED
"Statement - username = ""auto"" + r_string",Chrome 69.0.3497.100,,2018-10-02 14:39:47,2018-10-02 14:39:47,0.024s,PASSED
"Statement - email = username + ""@mailinator.com""",Chrome 69.0.3497.100,,2018-10-02 14:39:47,2018-10-02 14:39:47,0.030s,PASSED
"Statement - password = ""123456""",Chrome 69.0.3497.100,,2018-10-02 14:39:47,2018-10-02 14:39:47,0.059s,PASSED
"Statement - newpassword = ""test123""",Chrome 69.0.3497.100,,2018-10-02 14:39:47,2018-10-02 14:39:47,0.070s,PASSED
"Statement - name = ""Auto User "" + r_string",Chrome 69.0.3497.100,,2018-10-02 14:39:47,2018-10-02 14:39:47,0.021s,PASSED
"Statement - birthday = ""01/01/1990""",Chrome 69.0.3497.100,,2018-10-02 14:39:47,2018-10-02 14:39:47,0.031s,PASSED
"Statement - activation_subject = SITE_TITLE + "" Activate your account""",Chrome 69.0.3497.100,,2018-10-02 14:39:47,2018-10-02 14:39:47,0.190s,PASSED
"Statement - resetpass_subject = SITE_TITLE + "" Password Reset""",Chrome 69.0.3497.100,,2018-10-02 14:39:47,2018-10-02 14:39:47,0.032s,PASSED
beautytap.GeneralAction.openBeautytap,Chrome 69.0.3497.100,,2018-10-02 14:39:47,2018-10-02 14:40:26,39.230s,PASSED
beautytap.GeneralAction.clickNavigationMenu,Chrome 69.0.3497.100,,2018-10-02 14:40:26,2018-10-02 14:40:30,3.896s,PASSED
beautytap.GeneralAction.signup,Chrome 69.0.3497.100,,2018-10-02 14:40:30,2018-10-02 14:40:33,2.730s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,VP1: Verify message displays: Registration successful. A verification email has been sent to you. Please check your inbox.,2018-10-02 14:40:33,2018-10-02 14:40:39,5.847s,PASSED
beautytap.GeneralAction.openMailBox,Chrome 69.0.3497.100,,2018-10-02 14:40:39,2018-10-02 14:40:56,16.741s,PASSED
beautytap.GeneralAction.verifyEmailExist,Chrome 69.0.3497.100,VP2: Verify activation email exist,2018-10-02 14:40:56,2018-10-02 14:40:56,0.135s,PASSED
beautytap.GeneralAction.openEmail,Chrome 69.0.3497.100,,2018-10-02 14:40:56,2018-10-02 14:40:56,0.312s,PASSED
beautytap.GeneralAction.clickEmailLink,Chrome 69.0.3497.100,,2018-10-02 14:40:56,2018-10-02 14:41:10,14.396s,PASSED
waitForPageLoad,Chrome 69.0.3497.100,,2018-10-02 14:41:10,2018-10-02 14:41:11,0.034s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,VP3: Verify message display: Your account is now active!,2018-10-02 14:41:11,2018-10-02 14:41:11,0.055s,PASSED
beautytap.GeneralAction.clickNavigationMenu,Chrome 69.0.3497.100,,2018-10-02 14:41:11,2018-10-02 14:41:13,2.340s,PASSED
beautytap.GeneralAction.login,Chrome 69.0.3497.100,Login with username and password,2018-10-02 14:41:13,2018-10-02 14:41:14,1.338s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,VP4: Verify avatar icon displays,2018-10-02 14:41:14,2018-10-02 14:41:23,8.827s,PASSED
beautytap.GeneralAction.logout,Chrome 69.0.3497.100,,2018-10-02 14:41:23,2018-10-02 14:41:25,1.966s,PASSED
beautytap.GeneralAction.clickNavigationMenu,Chrome 69.0.3497.100,,2018-10-02 14:41:25,2018-10-02 14:41:31,6.428s,PASSED
beautytap.GeneralAction.login,Chrome 69.0.3497.100,Login with email and password,2018-10-02 14:41:31,2018-10-02 14:41:33,1.870s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,VP5: Verify avatar icon displays,2018-10-02 14:41:33,2018-10-02 14:41:42,8.433s,PASSED
beautytap.GeneralAction.logout,Chrome 69.0.3497.100,,2018-10-02 14:41:42,2018-10-02 14:41:43,1.246s,PASSED
beautytap.GeneralAction.clickNavigationMenu,Chrome 69.0.3497.100,RESET PASSWORD,2018-10-02 14:41:43,2018-10-02 14:41:50,6.622s,PASSED
click,Chrome 69.0.3497.100,,2018-10-02 14:41:50,2018-10-02 14:41:52,2.512s,PASSED
sendKeys,Chrome 69.0.3497.100,,2018-10-02 14:41:52,2018-10-02 14:41:53,0.504s,PASSED
click,Chrome 69.0.3497.100,,2018-10-02 14:41:53,2018-10-02 14:41:53,0.295s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,VP6:Verify message display: Your password has been reset! Please check your email for the confirmation link.,2018-10-02 14:41:53,2018-10-02 14:41:57,3.711s,PASSED
beautytap.GeneralAction.openMailBox,Chrome 69.0.3497.100,,2018-10-02 14:41:57,2018-10-02 14:42:10,13.332s,PASSED
beautytap.GeneralAction.verifyEmailExist,Chrome 69.0.3497.100,VP7: Verify reset password email exist,2018-10-02 14:42:10,2018-10-02 14:42:10,0.084s,PASSED
beautytap.GeneralAction.openEmail,Chrome 69.0.3497.100,,2018-10-02 14:42:10,2018-10-02 14:42:10,0.280s,PASSED
beautytap.GeneralAction.clickEmailLink,Chrome 69.0.3497.100,,2018-10-02 14:42:10,2018-10-02 14:42:16,5.250s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-02 14:42:16,2018-10-02 14:42:36,20.023s,PASSED
clearText,Chrome 69.0.3497.100,,2018-10-02 14:42:36,2018-10-02 14:42:36,0.105s,PASSED
sendKeys,Chrome 69.0.3497.100,,2018-10-02 14:42:36,2018-10-02 14:42:36,0.297s,PASSED
click,Chrome 69.0.3497.100,,2018-10-02 14:42:36,2018-10-02 14:42:42,5.501s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,VP8: Verify message displays: Your password has been reset.,2018-10-02 14:42:42,2018-10-02 14:42:42,0.044s,PASSED
beautytap.GeneralAction.clickNavigationMenu,Chrome 69.0.3497.100,,2018-10-02 14:42:42,2018-10-02 14:42:44,2.529s,PASSED
beautytap.GeneralAction.login,Chrome 69.0.3497.100,,2018-10-02 14:42:44,2018-10-02 14:42:45,0.966s,PASSED
verifyElementText,Chrome 69.0.3497.100,VP9: Verify message displays: Wrong Password when logging in with old password,2018-10-02 14:42:45,2018-10-02 14:42:46,0.665s,PASSED
beautytap.GeneralAction.login,Chrome 69.0.3497.100,,2018-10-02 14:42:46,2018-10-02 14:42:46,0.632s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,VP10: User can login successfully with username and new password,2018-10-02 14:42:46,2018-10-02 14:42:55,8.409s,PASSED
beautytap.GeneralAction.logout,Chrome 69.0.3497.100,,2018-10-02 14:42:55,2018-10-02 14:42:56,1.272s,PASSED
beautytap.GeneralAction.clickNavigationMenu,Chrome 69.0.3497.100,,2018-10-02 14:42:56,2018-10-02 14:43:03,6.888s,PASSED
beautytap.GeneralAction.login,Chrome 69.0.3497.100,,2018-10-02 14:43:03,2018-10-02 14:43:04,1.199s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,VP11: Verify user can login with email and new password,2018-10-02 14:43:04,2018-10-02 14:43:12,8.218s,PASSED
beautytap.GeneralAction.logout,Chrome 69.0.3497.100,,2018-10-02 14:43:12,2018-10-02 14:43:15,2.177s,PASSED
