Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Shop,Chrome 68.0.3440.106,,2018-09-04 14:14:37,2018-09-04 14:24:50,10m - 13.766s,FAILED
,,,,,,
Test Cases/Shop/TC03_Search_SimpleProduct_Sale_Creditcard_LessThan60_Normal,Chrome 68.0.3440.106,,2018-09-04 14:14:37,2018-09-04 14:17:15,2m - 38.263s,PASSED
Statement - productName = SIMPLE_SALE_PRODUCT,Chrome 68.0.3440.106,,2018-09-04 14:14:38,2018-09-04 14:14:38,0.070s,PASSED
"Statement - searchName = productName.substring(0, productName.indexOf(""/""))",Chrome 68.0.3440.106,,2018-09-04 14:14:38,2018-09-04 14:14:38,0.037s,PASSED
Statement - saleprice = SIMPLE_SALE_PRICE,Chrome 68.0.3440.106,,2018-09-04 14:14:38,2018-09-04 14:14:38,0.077s,PASSED
Statement - regularprice = SIMPLE_SALE_REGULAR_PRICE,Chrome 68.0.3440.106,,2018-09-04 14:14:38,2018-09-04 14:14:39,0.145s,PASSED
"Statement - r_string = new java.lang.Math().random().toString().substring(2, 8)",Chrome 68.0.3440.106,,2018-09-04 14:14:39,2018-09-04 14:14:39,0.135s,PASSED
"Statement - email = ""auto"" + r_string + ""@mailinator.com""",Chrome 68.0.3440.106,,2018-09-04 14:14:39,2018-09-04 14:14:39,0.018s,PASSED
"Statement - orderNote = ""auto"" + r_string + ""Order""",Chrome 68.0.3440.106,,2018-09-04 14:14:39,2018-09-04 14:14:39,0.017s,PASSED
Statement - currentNumberItemInCart = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 68.0.3440.106,,2018-09-04 14:14:39,2018-09-04 14:14:39,0.041s,PASSED
Statement - quantity = 1,Chrome 68.0.3440.106,,2018-09-04 14:14:39,2018-09-04 14:14:39,0.012s,PASSED
"Statement - subtotal = CustomKeywords.beautytap.ShopAction.calculateTotal(quantity, saleprice)",Chrome 68.0.3440.106,,2018-09-04 14:14:39,2018-09-04 14:14:39,0.068s,PASSED
Statement - total = subtotal + SHIPPING_PRICE,Chrome 68.0.3440.106,,2018-09-04 14:14:39,2018-09-04 14:14:39,0.012s,PASSED
"Statement - total = CustomKeywords.beautytap.ShopAction.calculateTotal(1, total)",Chrome 68.0.3440.106,,2018-09-04 14:14:39,2018-09-04 14:14:39,0.010s,PASSED
"Statement - products = new org.json.JSONArray((((((([{""productname"":"" + productName) + "",""variation"":"""",""quantity"":"") + quantity) + "",""price"":"") + saleprice) + ""}]))",Chrome 68.0.3440.106,,2018-09-04 14:14:39,2018-09-04 14:14:39,0.019s,PASSED
"Statement - billingInformation = new org.json.JSONObject((({""firstname"":""Test"",""lastname"":""Automation"",""country"":""United States (US)"",""address"":""123 Testing"",""city"":""New York"",""state"":""New York"",""zip"":""90012"",""email"":"" + email) + ""}))",Chrome 68.0.3440.106,,2018-09-04 14:14:39,2018-09-04 14:14:39,0.016s,PASSED
Statement - shippingLabel = SHIPPING_LABEL,Chrome 68.0.3440.106,,2018-09-04 14:14:39,2018-09-04 14:14:39,0.009s,PASSED
Statement - shippingPrice = SHIPPING_PRICE,Chrome 68.0.3440.106,,2018-09-04 14:14:39,2018-09-04 14:14:39,0.010s,PASSED
"Statement - shippingType = ""normal""",Chrome 68.0.3440.106,,2018-09-04 14:14:39,2018-09-04 14:14:39,0.025s,PASSED
