Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS1,Chrome 69.0.3497.100,,2018-09-19 18:41:56,2018-09-19 18:54:19,12m - 23.051s,FAILED
,,,,,,
Test Cases/SignUp_Login_ResetPass/TC02_SignUp_Login_ViaFacebookEmail_NewUser_OldUser,Chrome 69.0.3497.100,,2018-09-19 18:41:57,2018-09-19 18:46:34,4m - 37.629s,PASSED
beautytap.AdminAction.deleteUser,Chrome 69.0.3497.100,,2018-09-19 18:41:58,2018-09-19 18:42:43,45.277s,PASSED
beautytap.GeneralAction.openBeautytap,Chrome 69.0.3497.100,,2018-09-19 18:42:43,2018-09-19 18:43:08,25.076s,PASSED
beautytap.GeneralAction.clickNavigationMenu,Chrome 69.0.3497.100,SIGNUP VIA FACEBOOK NOT EXIST IN SYSTEM,2018-09-19 18:43:08,2018-09-19 18:43:11,3.116s,PASSED
beautytap.GeneralAction.signupViaFacebook,Chrome 69.0.3497.100,,2018-09-19 18:43:11,2018-09-19 18:43:39,28.104s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,VP1: Verify user is logged in after Signup via Facebook,2018-09-19 18:43:39,2018-09-19 18:43:39,0.056s,PASSED
beautytap.GeneralAction.logout,Chrome 69.0.3497.100,,2018-09-19 18:43:39,2018-09-19 18:43:41,1.498s,PASSED
beautytap.AdminAction.deleteUser,Chrome 69.0.3497.100,LOGIN VIA FACEBOOK NOT EXIST IN SYSTEM,2018-09-19 18:43:41,2018-09-19 18:44:20,39.462s,PASSED
beautytap.GeneralAction.openBeautytap,Chrome 69.0.3497.100,,2018-09-19 18:44:20,2018-09-19 18:44:39,19.120s,PASSED
beautytap.GeneralAction.clickNavigationMenu,Chrome 69.0.3497.100,,2018-09-19 18:44:39,2018-09-19 18:44:42,3.053s,PASSED
beautytap.GeneralAction.login,Chrome 69.0.3497.100,,2018-09-19 18:44:42,2018-09-19 18:44:46,4.161s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,VP2: Verify user is logged in via Facebook ,2018-09-19 18:44:46,2018-09-19 18:45:10,24.037s,PASSED
beautytap.GeneralAction.logout,Chrome 69.0.3497.100,,2018-09-19 18:45:10,2018-09-19 18:45:12,1.924s,PASSED
beautytap.GeneralAction.openBeautytap,Chrome 69.0.3497.100,SIGNUP VIA FACEBOOK ALREADY EXIST IN SYSTEM,2018-09-19 18:45:12,2018-09-19 18:45:28,15.420s,PASSED
beautytap.GeneralAction.clickNavigationMenu,Chrome 69.0.3497.100,,2018-09-19 18:45:28,2018-09-19 18:45:31,3.204s,PASSED
beautytap.GeneralAction.signupViaFacebook,Chrome 69.0.3497.100,,2018-09-19 18:45:31,2018-09-19 18:45:52,20.779s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,VP3: Verify user is logged in after Signup via Facebook,2018-09-19 18:45:52,2018-09-19 18:45:52,0.052s,PASSED
beautytap.GeneralAction.logout,Chrome 69.0.3497.100,,2018-09-19 18:45:52,2018-09-19 18:45:58,5.741s,PASSED
beautytap.GeneralAction.openBeautytap,Chrome 69.0.3497.100,LOGIN VIA FACEBOOK ALREADY EXIST IN SYSTEM,2018-09-19 18:45:58,2018-09-19 18:46:14,16.325s,PASSED
beautytap.GeneralAction.clickNavigationMenu,Chrome 69.0.3497.100,,2018-09-19 18:46:14,2018-09-19 18:46:17,2.972s,PASSED
beautytap.GeneralAction.login,Chrome 69.0.3497.100,,2018-09-19 18:46:17,2018-09-19 18:46:21,4.023s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,VP4: Verify user is logged in via Facebook,2018-09-19 18:46:21,2018-09-19 18:46:30,9.055s,PASSED
beautytap.GeneralAction.logout,Chrome 69.0.3497.100,,2018-09-19 18:46:30,2018-09-19 18:46:32,1.939s,PASSED
,,,,,,
Test Cases/Shop/TC07_BuyProduct_EarnPendingPoint_EarnRedeemablePoint,Chrome 69.0.3497.100,"1. Login as user
2. Go to My Rewoard get current multiplier, lifetime, pending, redeemable points, point value
3. By a product then process to checkout
VP1: Verify reward on checkout page: Rewards earned = (subtotal-discount)*multiplier
4. Checkout
VP2: Verify reward on Order received page: Rewards earned = (subtotal-discount)*multiplier
5. Go to Reward page
VP3: Verify reward detail: lifetime:notchange,pending=current pending+reward, redeemable:notchange,point value: not change
VP4: Verify reward history: 1 row with sataut pending,1 row with status processing
6. Login as Admin
7. Change order status to complete
8. Login as user
VP5: Verify notification order complete
VP6: Verify email order complete with reward point
9. Go to reward page
VP7: Verify reward detail: lifetime=lifetime+reward,pending=pending-reward, redeemable=redeemable+reward,point value: associate with reward
VP8: Verify reward history: 1 row with sataut complete
",2018-09-19 18:46:34,2018-09-19 18:50:09,3m - 34.874s,FAILED
Statement - username = USER_EMAIL,Chrome 69.0.3497.100,,2018-09-19 18:46:35,2018-09-19 18:46:35,0.006s,PASSED
Statement - password = USER_PASSWORD,Chrome 69.0.3497.100,,2018-09-19 18:46:35,2018-09-19 18:46:35,0.008s,PASSED
Statement - productName = SIMPLE_PRODUCT,Chrome 69.0.3497.100,,2018-09-19 18:46:35,2018-09-19 18:46:35,0.008s,PASSED
Statement - price = SIMPLE_PRODUCT_PRICE,Chrome 69.0.3497.100,,2018-09-19 18:46:35,2018-09-19 18:46:35,0.023s,PASSED
Statement - quantity = 3,Chrome 69.0.3497.100,,2018-09-19 18:46:35,2018-09-19 18:46:35,0.014s,PASSED
Statement - shippingLabel = FREE_SHIPPING_LABEL,Chrome 69.0.3497.100,,2018-09-19 18:46:35,2018-09-19 18:46:35,0.012s,PASSED
Statement - shippingPrice = 0,Chrome 69.0.3497.100,,2018-09-19 18:46:35,2018-09-19 18:46:35,0.008s,PASSED
"Statement - subtotal = CustomKeywords.beautytap.ShopAction.calculateTotal(quantity, price)",Chrome 69.0.3497.100,,2018-09-19 18:46:35,2018-09-19 18:46:35,0.121s,PASSED
Statement - total = subtotal + shippingPrice,Chrome 69.0.3497.100,,2018-09-19 18:46:35,2018-09-19 18:46:35,0.010s,PASSED
"Statement - products = new org.json.JSONArray((((((([{""productname"":"" + productName) + "",""variation"":"""",""quantity"":"") + quantity) + "",""price"":"") + price) + ""}]))",Chrome 69.0.3497.100,,2018-09-19 18:46:35,2018-09-19 18:46:35,0.015s,PASSED
"Statement - billingInformation = new org.json.JSONObject((({""firstname"":""Test"",""lastname"":""Automation"",""country"":""United States (US)"",""address"":""123 Testing"",""city"":""New York"",""state"":""New York"",""zip"":""90012"",""email"":"" + username) + ""}))",Chrome 69.0.3497.100,,2018-09-19 18:46:35,2018-09-19 18:46:35,0.023s,PASSED
"Statement - paymentMethod = ""Credit Card Payment""",Chrome 69.0.3497.100,,2018-09-19 18:46:35,2018-09-19 18:46:35,0.008s,PASSED
beautytap.GeneralAction.openBeautytap,Chrome 69.0.3497.100,,2018-09-19 18:46:35,2018-09-19 18:46:50,15.479s,PASSED
beautytap.GeneralAction.clickNavigationMenu,Chrome 69.0.3497.100,,2018-09-19 18:46:50,2018-09-19 18:46:53,2.582s,PASSED
beautytap.GeneralAction.login,Chrome 69.0.3497.100,,2018-09-19 18:46:53,2018-09-19 18:46:54,1.227s,PASSED
beautytap.GeneralAction.selectProfileMenu,Chrome 69.0.3497.100,,2018-09-19 18:46:54,2018-09-19 18:47:08,13.687s,PASSED
Statement - objRewoard = CustomKeywords.beautytap.ShopAction.getRewardDetails(),Chrome 69.0.3497.100,"Get current multiplier, lifetime, pending, redeemable points, point value",2018-09-19 18:47:08,2018-09-19 18:47:08,0.406s,PASSED
"Statement - multiplier = java.lang.Float.parseFloat(objRewoard.get(""multiplier""))",Chrome 69.0.3497.100,,2018-09-19 18:47:08,2018-09-19 18:47:08,0.008s,PASSED
"Statement - currentlevel = objRewoard.get(""currentlevel"")",Chrome 69.0.3497.100,,2018-09-19 18:47:08,2018-09-19 18:47:08,0.011s,PASSED
"Statement - lifetime = java.lang.Float.parseFloat(objRewoard.get(""lifetime""))",Chrome 69.0.3497.100,,2018-09-19 18:47:08,2018-09-19 18:47:08,0.006s,PASSED
"Statement - pending = java.lang.Float.parseFloat(objRewoard.get(""pending""))",Chrome 69.0.3497.100,,2018-09-19 18:47:08,2018-09-19 18:47:08,0.008s,PASSED
"Statement - redeemable = java.lang.Float.parseFloat(objRewoard.get(""redeemable""))",Chrome 69.0.3497.100,,2018-09-19 18:47:08,2018-09-19 18:47:08,0.011s,PASSED
"Statement - pointvalue = java.lang.Float.parseFloat(objRewoard.get(""pointvalue""))",Chrome 69.0.3497.100,,2018-09-19 18:47:08,2018-09-19 18:47:08,0.008s,PASSED
"Statement - rewardEarned = java.lang.Float.parseFloat(java.lang.String.format(""%.2f"", multiplier * subtotal))",Chrome 69.0.3497.100,,2018-09-19 18:47:08,2018-09-19 18:47:08,0.009s,PASSED
"Statement - notificationMessage = ""You received "" + rewardEarned + "" redeemable points""",Chrome 69.0.3497.100,,2018-09-19 18:47:08,2018-09-19 18:47:08,0.007s,PASSED
beautytap.ShopAction.globalSearch,Chrome 69.0.3497.100,Buy a product,2018-09-19 18:47:08,2018-09-19 18:47:16,7.286s,PASSED
beautytap.ShopAction.selectProductOnSearchResult,Chrome 69.0.3497.100,,2018-09-19 18:47:16,2018-09-19 18:47:22,6.051s,PASSED
beautytap.ShopAction.addProductToCart,Chrome 69.0.3497.100,,2018-09-19 18:47:22,2018-09-19 18:47:27,5.344s,PASSED
beautytap.ShopAction.goToCart,Chrome 69.0.3497.100,,2018-09-19 18:47:27,2018-09-19 18:47:32,5.082s,PASSED
beautytap.ShopAction.processToCheckout,Chrome 69.0.3497.100,Process to checkout,2018-09-19 18:47:32,2018-09-19 18:47:36,4.022s,PASSED
beautytap.ShopAction.fillCustomerInformation,Chrome 69.0.3497.100,,2018-09-19 18:47:36,2018-09-19 18:47:50,13.587s,PASSED
beautytap.ShopAction.VerifyOrderDetailsOnCheckout,Chrome 69.0.3497.100,VP1: Verify order details on checkout,2018-09-19 18:47:50,2018-09-19 18:47:50,0.397s,PASSED
beautytap.ShopAction.VerifyRewardEarned,Chrome 69.0.3497.100,VP2: Verify reward on checkout page: Rewards earned = (subtotal-discount)*multiplier,2018-09-19 18:47:50,2018-09-19 18:47:51,0.904s,PASSED
beautytap.ShopAction.checkoutViaCreditCard,Chrome 69.0.3497.100,,2018-09-19 18:47:51,2018-09-19 18:49:04,1m - 13.464s,PASSED
beautytap.ShopAction.VerifyOrderReceivedDetails,Chrome 69.0.3497.100,VP3: Verify order details on Order Recieved,2018-09-19 18:49:04,2018-09-19 18:50:07,1m - 2.483s,FAILED
,,,,,,
Test Cases/Shop/TC08_BuyProduct_UsingRewardPoint,Chrome 69.0.3497.100,,2018-09-19 18:50:09,2018-09-19 18:54:18,4m - 9.022s,FAILED
Statement - username = USER_EMAIL,Chrome 69.0.3497.100,,2018-09-19 18:50:09,2018-09-19 18:50:09,0.027s,PASSED
Statement - password = USER_PASSWORD,Chrome 69.0.3497.100,,2018-09-19 18:50:09,2018-09-19 18:50:10,0.026s,PASSED
Statement - productName = SIMPLE_PRODUCT,Chrome 69.0.3497.100,,2018-09-19 18:50:10,2018-09-19 18:50:10,0.010s,PASSED
Statement - price = SIMPLE_PRODUCT_PRICE,Chrome 69.0.3497.100,,2018-09-19 18:50:10,2018-09-19 18:50:10,0.010s,PASSED
Statement - quantity = 3,Chrome 69.0.3497.100,,2018-09-19 18:50:10,2018-09-19 18:50:10,0.016s,PASSED
Statement - shippingLabel = FREE_SHIPPING_LABEL,Chrome 69.0.3497.100,,2018-09-19 18:50:10,2018-09-19 18:50:10,0.010s,PASSED
Statement - shippingPrice = 0,Chrome 69.0.3497.100,,2018-09-19 18:50:10,2018-09-19 18:50:10,0.010s,PASSED
Statement - pointUsed = 60,Chrome 69.0.3497.100,,2018-09-19 18:50:10,2018-09-19 18:50:10,0.009s,PASSED
Statement - pointValueUsed = 2,Chrome 69.0.3497.100,,2018-09-19 18:50:10,2018-09-19 18:50:10,0.018s,PASSED
"Statement - subtotal = CustomKeywords.beautytap.ShopAction.calculateTotal(quantity, price)",Chrome 69.0.3497.100,,2018-09-19 18:50:10,2018-09-19 18:50:10,0.068s,PASSED
"Statement - subtotalApplyReward = java.lang.Float.parseFloat(java.lang.String.format(""%.2f"", subtotal - pointValueUsed))",Chrome 69.0.3497.100,,2018-09-19 18:50:10,2018-09-19 18:50:10,0.030s,PASSED
"Statement - total = java.lang.Float.parseFloat(java.lang.String.format(""%.2f"", subtotal - pointValueUsed + shippingPrice))",Chrome 69.0.3497.100,,2018-09-19 18:50:10,2018-09-19 18:50:10,0.009s,PASSED
"Statement - products = new org.json.JSONArray((((((([{""productname"":"" + productName) + "",""variation"":"""",""quantity"":"") + quantity) + "",""price"":"") + price) + ""}]))",Chrome 69.0.3497.100,,2018-09-19 18:50:10,2018-09-19 18:50:10,0.018s,PASSED
"Statement - billingInformation = new org.json.JSONObject((({""firstname"":""Test"",""lastname"":""Automation"",""country"":""United States (US)"",""address"":""123 Testing"",""city"":""New York"",""state"":""New York"",""zip"":""90012"",""email"":"" + username) + ""}))",Chrome 69.0.3497.100,,2018-09-19 18:50:10,2018-09-19 18:50:10,0.014s,PASSED
"Statement - paymentMethod = ""Credit Card Payment""",Chrome 69.0.3497.100,,2018-09-19 18:50:10,2018-09-19 18:50:10,0.008s,PASSED
beautytap.GeneralAction.openBeautytap,Chrome 69.0.3497.100,,2018-09-19 18:50:10,2018-09-19 18:50:28,17.810s,PASSED
beautytap.GeneralAction.clickNavigationMenu,Chrome 69.0.3497.100,,2018-09-19 18:50:28,2018-09-19 18:50:30,2.426s,PASSED
beautytap.GeneralAction.login,Chrome 69.0.3497.100,,2018-09-19 18:50:30,2018-09-19 18:50:31,0.929s,PASSED
beautytap.GeneralAction.selectProfileMenu,Chrome 69.0.3497.100,,2018-09-19 18:50:31,2018-09-19 18:50:45,14.128s,PASSED
Statement - objReward = CustomKeywords.beautytap.ShopAction.getRewardDetails(),Chrome 69.0.3497.100,"Get current multiplier, lifetime, pending, redeemable points, point value",2018-09-19 18:50:45,2018-09-19 18:50:45,0.356s,PASSED
"Statement - multiplier = java.lang.Float.parseFloat(objReward.get(""multiplier""))",Chrome 69.0.3497.100,,2018-09-19 18:50:45,2018-09-19 18:50:45,0.020s,PASSED
"Statement - currentlevel = objReward.get(""currentlevel"")",Chrome 69.0.3497.100,,2018-09-19 18:50:45,2018-09-19 18:50:45,0.008s,PASSED
"Statement - lifetime = java.lang.Float.parseFloat(objReward.get(""lifetime""))",Chrome 69.0.3497.100,,2018-09-19 18:50:45,2018-09-19 18:50:45,0.007s,PASSED
"Statement - pending = java.lang.Float.parseFloat(objReward.get(""pending""))",Chrome 69.0.3497.100,,2018-09-19 18:50:45,2018-09-19 18:50:45,0.006s,PASSED
"Statement - redeemable = java.lang.Float.parseFloat(objReward.get(""redeemable""))",Chrome 69.0.3497.100,,2018-09-19 18:50:45,2018-09-19 18:50:45,0.014s,PASSED
"Statement - pointvalue = java.lang.Float.parseFloat(objReward.get(""pointvalue""))",Chrome 69.0.3497.100,,2018-09-19 18:50:45,2018-09-19 18:50:45,0.013s,PASSED
"Statement - rewardEarned = java.lang.Float.parseFloat(java.lang.String.format(""%.2f"", multiplier * subtotal - pointValueUsed))",Chrome 69.0.3497.100,,2018-09-19 18:50:45,2018-09-19 18:50:45,0.009s,PASSED
beautytap.ShopAction.globalSearch,Chrome 69.0.3497.100,Buy a nother product and use reward point,2018-09-19 18:50:45,2018-09-19 18:50:52,6.979s,PASSED
beautytap.ShopAction.selectProductOnSearchResult,Chrome 69.0.3497.100,,2018-09-19 18:50:52,2018-09-19 18:50:58,5.638s,PASSED
beautytap.ShopAction.addProductToCart,Chrome 69.0.3497.100,,2018-09-19 18:50:58,2018-09-19 18:51:04,5.665s,PASSED
beautytap.ShopAction.goToCart,Chrome 69.0.3497.100,,2018-09-19 18:51:04,2018-09-19 18:51:08,4.742s,PASSED
beautytap.ShopAction.processToCheckout,Chrome 69.0.3497.100,Process to checkout,2018-09-19 18:51:08,2018-09-19 18:51:12,3.914s,PASSED
beautytap.ShopAction.applyLoyaltyRewardPoint,Chrome 69.0.3497.100,Apply Reward point,2018-09-19 18:51:12,2018-09-19 18:51:14,1.299s,PASSED
beautytap.ShopAction.fillCustomerInformation,Chrome 69.0.3497.100,Fill customer information,2018-09-19 18:51:14,2018-09-19 18:51:27,13.643s,PASSED
beautytap.ShopAction.VerifyOrderDetailsOnCheckout,Chrome 69.0.3497.100,VP1: Verify Order details on checkout page with reward discount,2018-09-19 18:51:27,2018-09-19 18:51:59,31.697s,FAILED
beautytap.ShopAction.VerifyRewardEarned,Chrome 69.0.3497.100,VP2: Verify reward on checkout page: Rewards earned = (subtotal-discount)*multiplier,2018-09-19 18:51:59,2018-09-19 18:51:59,0.412s,FAILED
beautytap.ShopAction.checkoutViaCreditCard,Chrome 69.0.3497.100,Checkout via creditcard,2018-09-19 18:51:59,2018-09-19 18:53:13,1m - 13.668s,PASSED
beautytap.ShopAction.VerifyOrderReceivedDetails,Chrome 69.0.3497.100,VP3: Verify order details on Order Recieved,2018-09-19 18:53:13,2018-09-19 18:54:16,1m - 2.716s,FAILED
